experiment,property,metric,value
Exp-2_stress_aware_rock_physics,Vp,mean,3614.137939453125
Exp-2_stress_aware_rock_physics,Vp,std,196.6480255126953
Exp-2_stress_aware_rock_physics,Vp,p10,3349.26025390625
Exp-2_stress_aware_rock_physics,Vp,p50,3616.22412109375
Exp-2_stress_aware_rock_physics,Vp,p90,3859.514892578125
Exp-2_stress_aware_rock_physics,Vp,facies_0_mean,3609.604736328125
Exp-2_stress_aware_rock_physics,Vp,facies_0_std,223.38771057128906
Exp-2_stress_aware_rock_physics,Vp,facies_1_mean,3631.326904296875
Exp-2_stress_aware_rock_physics,Vp,facies_1_std,157.48825073242188
Exp-2_stress_aware_rock_physics,Vp,facies_2_mean,3605.646728515625
Exp-2_stress_aware_rock_physics,Vp,facies_2_std,109.801513671875
Exp-2_stress_aware_rock_physics,Vp,facies_3_mean,3595.556640625
Exp-2_stress_aware_rock_physics,Vp,facies_3_std,194.0899200439453
Exp-2_stress_aware_rock_physics,Vp,facies_separability_fisher,0.003402251550941595
Exp-2_stress_aware_rock_physics,Vs,mean,2055.20263671875
Exp-2_stress_aware_rock_physics,Vs,std,144.346923828125
Exp-2_stress_aware_rock_physics,Vs,p10,1852.623291015625
Exp-2_stress_aware_rock_physics,Vs,p50,2065.4814453125
Exp-2_stress_aware_rock_physics,Vs,p90,2242.7060546875
Exp-2_stress_aware_rock_physics,Vs,facies_0_mean,1998.83984375
Exp-2_stress_aware_rock_physics,Vs,facies_0_std,143.51625061035156
Exp-2_stress_aware_rock_physics,Vs,facies_1_mean,2144.029296875
Exp-2_stress_aware_rock_physics,Vs,facies_1_std,110.60484313964844
Exp-2_stress_aware_rock_physics,Vs,facies_2_mean,2084.569580078125
Exp-2_stress_aware_rock_physics,Vs,facies_2_std,73.83302307128906
Exp-2_stress_aware_rock_physics,Vs,facies_3_mean,2091.436767578125
Exp-2_stress_aware_rock_physics,Vs,facies_3_std,132.78384399414062
Exp-2_stress_aware_rock_physics,Vs,facies_separability_fisher,0.2481100740391363
Exp-2_stress_aware_rock_physics,density,mean,2.52990984916687
Exp-2_stress_aware_rock_physics,density,std,0.02960149012506008
Exp-2_stress_aware_rock_physics,density,p10,2.4921398162841797
Exp-2_stress_aware_rock_physics,density,p50,2.5279061794281006
Exp-2_stress_aware_rock_physics,density,p90,2.570077419281006
Exp-2_stress_aware_rock_physics,density,facies_0_mean,2.5464606285095215
Exp-2_stress_aware_rock_physics,density,facies_0_std,0.025127019733190536
Exp-2_stress_aware_rock_physics,density,facies_1_mean,2.508213996887207
Exp-2_stress_aware_rock_physics,density,facies_1_std,0.02123955823481083
Exp-2_stress_aware_rock_physics,density,facies_2_mean,2.517514228820801
Exp-2_stress_aware_rock_physics,density,facies_2_std,0.014549808576703072
Exp-2_stress_aware_rock_physics,density,facies_3_mean,2.5089499950408936
Exp-2_stress_aware_rock_physics,density,facies_3_std,0.024549437686800957
Exp-2_stress_aware_rock_physics,density,facies_separability_fisher,0.6153217581701828
Exp-2_stress_aware_rock_physics,AI,mean,9147.875
Exp-2_stress_aware_rock_physics,AI,std,584.4210815429688
Exp-2_stress_aware_rock_physics,AI,p10,8369.4150390625
Exp-2_stress_aware_rock_physics,AI,p50,9132.625
Exp-2_stress_aware_rock_physics,AI,p90,9895.28125
Exp-2_stress_aware_rock_physics,AI,facies_0_mean,9197.298828125
Exp-2_stress_aware_rock_physics,AI,facies_0_std,659.2435302734375
Exp-2_stress_aware_rock_physics,AI,facies_1_mean,9111.478515625
Exp-2_stress_aware_rock_physics,AI,facies_1_std,471.43017578125
Exp-2_stress_aware_rock_physics,AI,facies_2_mean,9078.8603515625
Exp-2_stress_aware_rock_physics,AI,facies_2_std,327.5743713378906
Exp-2_stress_aware_rock_physics,AI,facies_3_mean,9025.796875
Exp-2_stress_aware_rock_physics,AI,facies_3_std,577.9091796875
Exp-2_stress_aware_rock_physics,AI,facies_separability_fisher,0.010144743551391167
Exp-2_stress_aware_rock_physics,VpVs,mean,1.7611507177352905
Exp-2_stress_aware_rock_physics,VpVs,std,0.05421511456370354
Exp-2_stress_aware_rock_physics,VpVs,p10,1.6872529983520508
Exp-2_stress_aware_rock_physics,VpVs,p50,1.7814260721206665
Exp-2_stress_aware_rock_physics,VpVs,p90,1.8254287242889404
Exp-2_stress_aware_rock_physics,VpVs,facies_0_mean,1.8071415424346924
Exp-2_stress_aware_rock_physics,VpVs,facies_0_std,0.019123326987028122
Exp-2_stress_aware_rock_physics,VpVs,facies_1_mean,1.6944223642349243
Exp-2_stress_aware_rock_physics,VpVs,facies_1_std,0.015155809000134468
Exp-2_stress_aware_rock_physics,VpVs,facies_2_mean,1.7300013303756714
Exp-2_stress_aware_rock_physics,VpVs,facies_2_std,0.009744367562234402
Exp-2_stress_aware_rock_physics,VpVs,facies_3_mean,1.7202080488204956
Exp-2_stress_aware_rock_physics,VpVs,facies_3_std,0.018435217440128326
Exp-2_stress_aware_rock_physics,VpVs,facies_separability_fisher,8.728056935529562
Exp-2_stress_aware_rock_physics,AI,corr_with_porosity,-0.6695112412882238
Exp-2_stress_aware_rock_physics,AI,corr_with_oil_saturation,-0.18305573194113062
Exp-2_stress_aware_rock_physics,AI,corr_with_brittleness_index,-0.06609628862716395
Exp-2_stress_aware_rock_physics,AI,corr_with_permeability,-0.2286307217172104
Exp-2_stress_aware_rock_physics,AI,corr_with_gamma,0.6075934274670486
Exp-2_stress_aware_rock_physics,AI,corr_with_stress,0.5540744192739279
Exp-2_stress_aware_rock_physics,AI,corr_with_SH1,-0.04720002029345512
Exp-2_stress_aware_rock_physics,AI,corr_with_SH2,-0.031114052003204763
Exp-2_stress_aware_rock_physics,AI,corr_with_stress_MPa,0.5540744192739279
Exp-2_stress_aware_rock_physics,AI,corr_with_mean_stress_proxy,-0.04062524726783411
Exp-2_stress_aware_rock_physics,AI,corr_with_differential_stress,-0.028430564861770778
Exp-2_stress_aware_rock_physics,AI,corr_with_stress_ratio,-0.01758024443146162
Exp-2_stress_aware_rock_physics,AI,corr_with_stress_anisotropy_index,-0.017254052000772038
Exp-2_stress_aware_rock_physics,AI,corr_with_pore_pressure_MPa,-0.24667860722330712
Exp-2_stress_aware_rock_physics,AI,corr_with_vertical_stress_Sv_MPa,-0.24667861823441445
Exp-2_stress_aware_rock_physics,AI,corr_with_effective_pressure_physical_MPa,-0.24667862755164188
Exp-2_stress_aware_rock_physics,AI,corr_with_overpressure_ratio,-0.06774972002475474
Exp-2_stress_aware_rock_physics,AI,corr_with_effective_pressure_ratio,0.03392847269866843
Exp-2_stress_aware_rock_physics,VpVs,corr_with_porosity,-0.5692885257470218
Exp-2_stress_aware_rock_physics,VpVs,corr_with_oil_saturation,-0.27421713482692367
Exp-2_stress_aware_rock_physics,VpVs,corr_with_brittleness_index,-0.07332124681411761
Exp-2_stress_aware_rock_physics,VpVs,corr_with_permeability,-0.22556152726930945
Exp-2_stress_aware_rock_physics,VpVs,corr_with_gamma,0.5655157965512313
Exp-2_stress_aware_rock_physics,VpVs,corr_with_stress,0.6077540419393951
Exp-2_stress_aware_rock_physics,VpVs,corr_with_SH1,-0.15545568062361514
Exp-2_stress_aware_rock_physics,VpVs,corr_with_SH2,-0.2116225126450506
Exp-2_stress_aware_rock_physics,VpVs,corr_with_stress_MPa,0.6077540419393951
Exp-2_stress_aware_rock_physics,VpVs,corr_with_mean_stress_proxy,-0.19095770533169018
Exp-2_stress_aware_rock_physics,VpVs,corr_with_differential_stress,0.10851251355323233
Exp-2_stress_aware_rock_physics,VpVs,corr_with_stress_ratio,0.15801256614070575
Exp-2_stress_aware_rock_physics,VpVs,corr_with_stress_anisotropy_index,0.15746700510320288
